,Parcel ID,county,date,year,month,year-month,price,yr_blt,sf,price_sf,lat,long,GEOID,Sub_geo
15280,071E01008000,"244 WINDY CIR Henry County, GA",7/20/20,2020,7,2020-7,250000,2019,2277,109.7935881,33.5004189,-84.1931878,13151070315,McDonough
15281,052A01045000,"123 GLEN EAGLE WAY Henry County, GA",4/15/21,2021,4,2021-4,640000,1998,631,1014.263074,33.5004992,-84.2173198,13151070315,McDonough
15282,052A01118000,"126 GLEN EAGLE WAY Henry County, GA",9/12/19,2019,9,2019-9,445900,1998,3058,145.8142577,33.5005025,-84.2164551,13151070315,McDonough
15285,051F01039000,"407 CASTLE ROCK Henry County, GA",5/7/21,2021,5,2021-5,675000,1998,4165,162.0648259,33.5005834,-84.2088376,13151070315,McDonough
15287,051F01217000,"721 BETHPAGE DR Henry County, GA",2/13/20,2020,2,2020-2,1125000,2006,5784,194.5020747,33.5005941,-84.2020634,13151070315,McDonough
15291,051F01057000,"615 CHAMPIONS DR Henry County, GA",4/7/21,2021,4,2021-4,1795000,2001,9080,197.6872247,33.5006197,-84.2063463,13151070315,McDonough
15294,051F01047000,"435 WINGED FOOT DR Henry County, GA",8/27/19,2019,8,2019-8,335000,1997,2705,123.844732,33.5006558,-84.2094553,13151070315,McDonough
15295,052A01122000,"109 ROYAL BURGESS WAY Henry County, GA",1/2/18,2018,1,2018-1,350000,1997,3176,110.2015113,33.5006765,-84.2155081,13151070315,McDonough
15298,052A01125000,"209 GLEN ABBEY CT Henry County, GA",10/24/19,2019,10,2019-10,470000,1993,3508,133.9794755,33.5007412,-84.215961,13151070315,McDonough
15301,052A01046000,"121 GLEN EAGLE WAY Henry County, GA",3/4/21,2021,3,2021-3,625000,1992,3243,192.7227875,33.5008199,-84.2176491,13151070315,McDonough
15310,052A01123000,"107 ROYAL BURGESS WAY Henry County, GA",9/10/20,2020,9,2020-9,400000,1993,2961,135.0894968,33.500959,-84.2154875,13151070315,McDonough
15311,051F01046000,"437 WINGED FOOT DR Henry County, GA",4/30/21,2021,4,2021-4,459900,1997,2863,160.6356968,33.5009669,-84.2095788,13151070315,McDonough
15312,051G01110000,"1013 LEGACY HILLS DR Henry County, GA",8/14/20,2020,8,2020-8,1225000,2003,6473,189.2476441,33.5009871,-84.1952963,13151070315,McDonough
15315,052A01126000,"207 GLEN ABBEY CT Henry County, GA",1/28/22,2022,1,2022-1,525000,1989,2745,191.2568306,33.5010183,-84.2162904,13151070315,McDonough
15317,052A01116000,"122 GLEN EAGLE WAY Henry County, GA",2/26/21,2021,2,2021-2,360000,1993,3184,113.0653266,33.5010281,-84.2169698,13151070315,McDonough
15321,052A01047000,"119 GLEN EAGLE WAY Henry County, GA",10/14/22,2022,10,2022-10,639000,1996,2965,215.5143339,33.5011348,-84.217855,13151070315,McDonough
15331,051F01058000,"617 CHAMPIONS DR Henry County, GA",5/18/22,2022,5,2022-5,640000,1998,2929,218.5046091,33.5012342,-84.2064286,13151070315,McDonough
15339,052A01124000,"211 GLEN ABBEY CT Henry County, GA",6/3/20,2020,6,2020-6,509000,1998,3786,134.4426836,33.501291,-84.2155905,13151070315,McDonough
15340,052A01115000,"120 GLEN EAGLE WAY Henry County, GA",10/21/21,2021,10,2021-10,585000,1989,5278,110.8374384,33.5012975,-84.2171345,13151070315,McDonough
15354,052A01062000,"108 ROYAL BURGESS WAY Henry County, GA",4/19/22,2022,4,2022-4,445000,1989,2560,173.828125,33.5014556,-84.2149111,13151070315,McDonough
15355,051G01112000,"1009 LEGACY HILLS DR Henry County, GA",1/21/22,2022,1,2022-1,850000,2002,5171,164.3782634,33.5014649,-84.1945676,13151070315,McDonough
15356,051G01112000,"1009 LEGACY HILLS DR Henry County, GA",10/24/18,2018,10,2018-10,625000,2002,5171,120.8663701,33.5014649,-84.1945676,13151070315,McDonough
15360,051F01059000,"619 CHAMPIONS DR Henry County, GA",7/30/21,2021,7,2021-7,859000,1997,5194,165.3831344,33.5015776,-84.2064341,13151070315,McDonough
15365,051F01042000,"401 CASTLE ROCK Henry County, GA",3/10/20,2020,3,2020-3,480000,1995,3683,130.3285365,33.5016322,-84.2088788,13151070315,McDonough
15374,052A01113000,"112 GLEN EAGLE WAY Henry County, GA",10/1/18,2018,10,2018-10,305900,1993,3845,79.55786736,33.5017107,-84.2166404,13151070315,McDonough
15382,052A01129000,"103 ROYAL BURGESS WAY Henry County, GA",12/23/20,2020,12,2020-12,428000,1993,3958,108.1354219,33.5017596,-84.2158169,13151070315,McDonough
15384,052A01108000,"178 GLEN EAGLE WAY Henry County, GA",10/12/21,2021,10,2021-10,460900,1990,3899,118.2097974,33.5017664,-84.2145611,13151070315,McDonough
15385,052A01108000,"178 GLEN EAGLE WAY Henry County, GA",5/6/22,2022,5,2022-5,480500,1990,3899,123.2367274,33.5017664,-84.2145611,13151070315,McDonough
15394,051F01223000,"733 BETHPAGE DR Henry County, GA",11/2/21,2021,11,2021-11,835000,2013,3976,210.0100604,33.501835,-84.2001483,13151070315,McDonough
15395,051F01223000,"733 BETHPAGE DR Henry County, GA",4/3/19,2019,4,2019-4,750000,2013,3976,188.6317907,33.501835,-84.2001483,13151070315,McDonough
15408,052A01049000,"115 GLEN EAGLE WAY Henry County, GA",6/16/20,2020,6,2020-6,595000,2007,3783,157.28258,33.5019236,-84.2174639,13151070315,McDonough
15422,052A01050000,"113 GLEN EAGLE WAY Henry County, GA",3/26/21,2021,3,2021-3,370000,1993,2832,130.6497175,33.5020638,-84.2171962,13151070315,McDonough
15447,052A01110000,"182 GLEN EAGLE WAY Henry County, GA",11/27/19,2019,11,2019-11,381700,1993,3245,117.6271186,33.502345,-84.2148082,13151070315,McDonough
15450,052A01059000,"102 ROYAL BURGESS WAY Henry County, GA",10/21/19,2019,10,2019-10,478000,2000,3481,137.316863,33.5023834,-84.2156317,13151070315,McDonough
